,Country Name,Country Code,Indicator Name,Indicator Code,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,Aruba,ABW,Mobile cellular subscriptions,IT.CEL.SETS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,,,1718.0,3000.0,3402.0,5380.0,12000.0,15000.0,53000.0,61800.0,69952.0,98389.0,103417.0,109030.0,113586.0,120806.0,128000.0,131800.0,,135000.0,138800.0,139700.0,141000.0,,,,141000.0,141000.0,
150,Moldova,MDA,Mobile cellular subscriptions,IT.CEL.SETS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,920.0,2200.0,7000.0,18000.0,139000.0,225000.0,338225.0,475942.0,787000.0,1089800.0,1358152.0,1882830.0,2423416.0,2136409.0,2550592.0,3217261.0,3584283.0,3696834.0,3738125.0,3713137.0,3788490.0,3746644.0,3636931.0,3613846.0,3420383.0,3900179.0
151,Madagascar,MDG,Mobile cellular subscriptions,IT.CEL.SETS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,1300.0,2300.0,4100.0,12784.0,35752.0,63094.0,147500.0,163010.0,283666.0,333888.0,510269.0,1045888.0,2217612.0,4835239.0,6283799.0,7711721.0,8680772.0,8778600.0,8461120.0,9713883.0,10693765.0,7998253.0,8730499.0,10654710.0,13003000.0,15869000.0,16279633.0
152,Maldives,MDV,Mobile cellular subscriptions,IT.CEL.SETS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,1290.0,1606.0,2926.0,7638.0,18894.0,41899.0,66466.0,113246.0,203620.0,271053.0,313539.0,435627.0,457770.0,494351.0,530449.0,560547.0,625161.0,665818.0,739790.0,812128.0,900120.0,857934.0,828042.0,717708.0,706043.0
155,Marshall Islands,MHL,Mobile cellular subscriptions,IT.CEL.SETS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280.0,264.0,365.0,466.0,345.0,443.0,447.0,489.0,552.0,598.0,644.0,660.0,,,,,,,,,15500.0,15500.0,,16000.0,,16000.0,16000.0,
157,North Macedonia,MKD,Mobile cellular subscriptions,IT.CEL.SETS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1058.0,12362.0,30087.0,48733.0,115748.0,223275.0,365346.0,776000.0,985600.0,1131006.0,1263841.0,1794433.0,1967531.0,1943216.0,2153425.0,2213223.0,2235460.0,2237250.0,2224439.0,2083583.0,2050494.0,2008008.0,1969109.0,1921013.0,1862138.0,1941352.0
158,Mali,MLI,Mobile cellular subscriptions,IT.CEL.SETS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1187.0,2842.0,4473.0,6387.0,10398.0,23997.0,45974.0,247223.0,406861.0,761986.0,1512948.0,2530891.0,3438568.0,4460543.0,7440383.0,10821930.0,14612835.0,19749371.0,23505559.0,22698915.0,20217697.0,22034110.0,21955565.0,22925482.0,25315598.0,21882251.0
159,Malta,MLT,Mobile cellular subscriptions,IT.CEL.SETS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2280.0,3500.0,5300.0,7500.0,10791.0,12500.0,17691.0,22531.0,37541.0,114444.0,239416.0,276859.0,289992.0,306067.0,323980.0,346771.0,368530.0,385636.0,422083.0,455579.0,521748.0,532228.0,556652.0,546229.0,524161.0,585470.0,604759.0,615843.0,634386.0,633123.0,644955.0
160,Myanmar,MMR,Mobile cellular subscriptions,IT.CEL.SETS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,643.0,1920.0,2766.0,7260.0,8492.0,8516.0,11389.0,13397.0,22671.0,47982.0,66517.0,92452.0,128700.0,214214.0,247641.0,367388.0,502005.0,594000.0,1243619.0,3729617.0,6832380.0,29029342.0,40993717.0,50586416.0,47946665.0,61143964.0,81945491.0,78548329.0,67930093.0
163,Mongolia,MNG,Mobile cellular subscriptions,IT.CEL.SETS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0,2000.0,9032.0,34562.0,154600.0,195000.0,216000.0,319000.0,428695.0,557207.0,774900.0,1194583.0,1763178.0,2249023.0,2510470.0,2942313.0,3375205.0,2877584.0,3027243.0,3068156.0,3367573.0,3886167.0,4222041.0,4418919.0,4363919.0,4687304.0
