Name,Population[1],Area (km²)[2],Population Density[2]
Federal Territory of Kuala Lumpur,1627172.00,243.00,6696.00
Federal Territory of Labuan,85272.00,91.00,937.00
Federal Territory of Putrajaya,67964.00,49.00,1387.00
Johor,3233434.00,19210.00,168.00
Kedah,1890098.00,9500.00,199.00
Kelantan,1459994.00,15099.00,97.00
Malacca,788706.00,1664.00,474.00
Negeri Sembilan,997071.00,6686.00,149.00
Pahang,1443365.00,36137.00,40.00
Perak,2258428.00,21035.00,107.00
Perlis,227025.00,821.00,277.00
Penang,1520143.00,1048.00,1451.00
Sabah,3120040.00,73631.00,42.00
Sarawak,2420009.00,124450.00,19.00
Selangor,5411324.00,8104.00,668.00
Terengganu,1015776.00,13035.00,78.00
