A,B,C,D
80,56,114,76
67,56,102,81
107,107,129,86
75,54,150,86
51,133,76,88
133,103,60,88
88,134,119,72
81,138,62,119
123,67,67,96
50,50,67,91
68,116,51,145
100,102,119,120
83,55,94,146
85,117,79,86
136,56,112,93
90,144,105,107
132,131,138,79
125,87,65,62
103,99,53,111
54,118,120,115
97,138,109,61
122,148,142,86
122,94,126,62
72,128,80,79
96,101,100,69
126,95,124,126
99,68,127,88
53,127,150,61
125,51,86,56
55,100,141,137
129,54,117,93
58,79,54,136
125,74,138,83
101,54,91,72
129,102,113,94
62,121,115,57
107,128,78,105
121,100,78,76
130,142,118,87
94,147,70,150
67,98,95,105
65,108,106,77
119,146,125,68
102,62,124,61
58,134,83,102
83,79,128,117
91,80,50,67
113,59,86,143
58,148,63,71
137,63,123,139
79,138,101,90
64,145,104,128
109,100,91,55
96,135,94,103
72,126,130,58
102,142,78,87
91,95,70,117
103,91,138,97
131,69,135,72
137,103,110,98
111,77,87,90
81,69,139,138
58,87,135,53
134,116,130,122
76,100,137,73
104,61,50,122
108,112,149,114
149,82,69,147
57,108,60,128
94,81,99,109
134,99,146,95
62,54,140,65
67,140,117,62
126,126,136,115
68,131,64,66
54,88,67,114
73,67,71,73
122,130,58,51
55,128,99,77
117,138,143,146
142,106,120,103
96,146,52,141
59,148,129,105
70,101,71,83
85,116,89,122
120,137,51,74
104,77,65,132
134,73,75,86
73,134,112,98
108,84,114,86
68,83,67,112
80,113,132,79
127,119,63,70
113,85,69,84
148,82,102,109
150,74,50,84
143,50,93,148
64,78,99,126
56,71,62,80
